id;disciplina;assunto;enunciado;alt_a;alt_b;alt_c;alt_d;gabarito;just_a;just_b;just_c;just_d;dica_interpretacao;formula_aplicavel;dificuldade
100;Atualidades do Mercado Financeiro;Sistema Financeiro;Qual é o principal índice de inflação monitorado pelo Banco Central para o regime de metas de inflação?;IPCA;INPC;IGP-M;IPCA-15;A;Correto. O IPCA (Índice de Preços ao Consumidor Amplo) é o índice oficial para o regime de metas de inflação.;Errado. O INPC é focado em famílias com renda mais baixa.;Errado. O IGP-M é mais utilizado em contratos e aluguéis.;Errado. O IPCA-15 é uma prévia do IPCA, mas não é o índice oficial.;O Banco Central tem como meta oficial o IPCA.;N/A;Fácil
101;Atualidades do Mercado Financeiro;Política Monetária;Quando o COPOM aumenta a taxa Selic, qual é o efeito esperado sobre a economia?;Estímulo ao consumo e ao crédito.;Contração da atividade econômica e controle inflacionário.;Desvalorização do câmbio.;Aumento imediato da inflação.;B;Errado. O aumento da Selic encarece o crédito, desestimulando o consumo.;Correto. A alta da Selic visa frear a demanda para controlar a inflação.;Errado. Geralmente atrai capitais externos, valorizando a moeda.;Errado. O objetivo é reduzir a inflação no médio prazo.;Selic alta = crédito caro = consumo reduzido = inflação controlada.;N/A;Médio
102;Matemática Financeira;Juros Simples;Um capital de R$ 1.000,00 é aplicado a juros simples de 2% ao mês. Qual será o montante após 5 meses?;R$ 1.100,00;R$ 1.200,00;R$ 1.020,00;R$ 1.102,00;A;Correto. J = C × i × t = 1000 × 0,02 × 5 = 100. M = C + J = 1000 + 100 = 1100;Errado. Este seria o montante para 10 meses a 2% ao mês.;Errado. Cuidado: este é o valor dos juros de apenas 1 mês.;Errado. Este é cálculo de juros compostos para 1 período.;Juros simples: os juros são constantes a cada período.;J = C × i × t E M = C + J;Fácil
103;Matemática Financeira;Juros Compostos;Qual o montante de R$ 2.000,00 aplicado a juros compostos de 3% ao mês por 2 meses?;R$ 2.120,00;R$ 2.121,80;R$ 2.060,00;R$ 2.180,00;B;Errado. Este é o cálculo para juros simples.;Correto. M = C × (1+i)^t = 2000 × (1,03)^2 = 2000 × 1,0609 = 2121,80;Errado. Este é o valor dos juros do primeiro mês apenas.;Errado. Verifique a aplicação da fórmula de juros compostos.;"Juros compostos: \""juros sobre juros\"". Use a fórmula do montante.";M = C × (1+i)^t;Médio
104;Conhecimentos Bancários;Sistema Financeiro Nacional;Qual instituição é responsável pela supervisão do Sistema Financeiro Nacional?;Banco Central do Brasil;Comissão de Valores Mobiliários (CVM);Conselho Monetário Nacional (CMN);Superintendência de Seguros Privados (SUSEP);A;Correto. O BACEN é o supervisor do SFN.;Errado. A CVM regula o mercado de capitais.;Errado. O CMN é o órgão normativo máximo.;Errado. A SUSEP regula o mercado de seguros.;BACEN = executor e supervisor E CMN = formulador de políticas.;N/A;Fácil
105;Conhecimentos Bancários;Produtos Bancários;Qual produto financeiro NÃO é considerado uma aplicação de renda fixa?;CDB;LCI;LCA;Ações;D;Errado. CDB é Certificado de Depósito Bancário, renda fixa.;Errado. LCI é Letra de Crédito Imobiliário, renda fixa isenta de IR para PF.;Errado. LCA é Letra de Crédito do Agronegócio, renda fixa isenta de IR para PF.;Correto. Ações são investimentos de renda variável.;Renda fixa = retorno previsível E Renda variável = retorno incerto.;N/A;Fácil 
106;Informática;Segurança da Informação;Qual desses NÃO é um exemplo de malware?;Firewall;Vírus;Worm;Trojan;A;Correto. Firewall é um sistema de segurança, não um malware.;Errado. Vírus é um tipo de malware que infecta arquivos.;Errado. Worm é um malware que se autorreplica.;Errado. Trojan é um malware que se disfarça de software legítimo.;Malware = software malicioso E Firewall = sistema de defesa.;N/A;Fácil
107;Informática;Planilhas Eletrônicas;"Na função =SE(A1>10,\""Aprovado\"",\""Reprovado\"") do Excel, o que acontece se A1 for igual a 15?";"Retorna \""Aprovado\""";"Retorna \""Reprovado\""";Retorna VERDADEIRO;Retorna FALSO;A;"Correto. 15 > 10 é VERDADEIRO, então retorna o primeiro valor (\""Aprovado\"").";"Errado. Só retornaria \""Reprovado\"" se A1 fosse menor ou igual a 10.";Errado. A função SE retorna os valores especificados, não VERDADEIRO/FALSO.;Errado. O teste lógico é verdadeiro, então não retorna FALSO.;Função SE: =SE(teste_lógico, valor_se_verdadeiro, valor_se_falso);N/A;Fácil
108;Vendas e Negociação;Técnicas de Vendas;Qual técnica de vendas envolve responder a uma objeção do cliente transformando-a em uma razão para comprar?;Método SPIN;Técnica do Feel-Felt-Found;Método LAER;Técnica da Boomerangue;D;Errado. SPIN é sobre fazer perguntas situacionais, problemáticas, etc.;Errado. Feel-Felt-Found é sobre empatia e exemplos.;Errado. LAER é escuta ativa (Ouvir, Acusar, Esclarecer, Responder).;"Correto. A técnica da Boomerangue \""devolve\"" a objeção como benefício.";Boomerangue = devolver a objeção como vantagem.;N/A;Médio
109;Vendas e Negociação;Comportamento do Consumidor;Na jornada de compra, qual etapa caracteriza o momento em que o cliente reconhece que tem um problema ou necessidade?;Consciência;Consideração;Decisão;Fidelização;A;Correto. Fase inicial onde o cliente percebe uma necessidade.;Errado. Consideração é quando busca soluções.;Errado. Decisão é quando escolhe uma solução.;Errado. Fidelização é após a compra.;Primeiro: perceber o problema, depois: buscar soluções.;N/A;Fácil
110;Psicologia;Gestão de Pessoas;Qual teoria motivacional propõe que as pessoas são motivadas por cinco necessidades hierárquicas?;Teoria dos Dois Fatores (Herzberg);Teoria X e Y (McGregor);Hierarquia das Necessidades (Maslow);Teoria da Expectância (Vroom);C;Errado. Herzberg fala em fatores higiênicos e motivacionais.;Errado. McGregor trata de visões sobre a natureza humana no trabalho.;Correto. Maslow propõe a pirâmide com necessidades fisiológicas, segurança, sociais, estima e autorrealização.;Errado. Vroom foca em expectativa, instrumentalidade e valência.;Pirâmide de Maslow: base (fisiológicas) até topo (autorrealização).;N/A;Fácil
111;Psicologia;Saúde Mental;Qual é um sintoma característico da Síndrome de Burnout?;Aumento da produtividade;Sentimentos de energia e realização;Exaustão emocional e cinismo;Humor elevado e eufórico;C;Errado. Burnout leva à redução da produtividade.;Errado. Há perda de energia e sensação de incompetência.;Correto. A tríade do Burnout é exaustão, cinismo e redução da eficácia profissional.;Errado. O humor tende a ficar deprimido ou irritável.;Burnout está relacionado ao estresse crônico no trabalho.;N/A;Médio
112;Matemática;Funções Quadráticas;Qual é o vértice da parábola definida por f(x) = x² - 4x + 3?;(2, -1);(-2, 15);(1, 0);(4, 3);A;Correto. Xv = -b/2a = 4/2 = 2, Yv = f(2) = 4 - 8 + 3 = -1;Errado. Verifique o cálculo do Xv usando a fórmula correta.;Errado. Este é um dos zeros da função, não o vértice.;Errado. Confira as coordenadas do vértice.;Vértice: Xv = -b/2a, Yv = f(Xv);Xv = -b/2a, Yv = -Δ/4a;Médio
113;Raciocínio Lógico;Lógica de Argumentação;"Considere o argumento: \""Todos os mamíferos têm pulmões. Alguns animais aquáticos são mamíferos. Logo, alguns animais aquáticos têm pulmões.\"" Este argumento é:";Válido;Inválido;Indeterminado;Contraditório;A;Correto. Segue a estrutura do silogismo válido: Todo M é P, Algum S é M, Logo, algum S é P.;Errado. As premissas sustentam a conclusão de forma válida.;Errado. É possível determinar a validade pela teoria do silogismo.;Errado. Não há contradição entre as premissas e a conclusão.;Analise a estrutura usando diagramas de Venn ou regras do silogismo.;N/A;Difícil
114;Língua Portuguesa;Interpretação de Texto;Um dos maiores desafios no ambiente corporativo é a comunicação clara. Muitos projetos falham não por falta de competência técnica, mas por ruídos na transmissão de ideias. A assertividade, nesse contexto, torna-se crucial. Segundo o texto:;A competência técnica é irrelevante para o sucesso de projetos.;A comunicação clara é um elemento secundário no ambiente corporativo.;Ruídos na comunicação podem comprometer a execução de projetos.;A assertividade é um obstáculo para a transmissão de ideias.;C;Errado. O texto não diz que é irrelevante, mas que não é a única causa de falhas.;Errado. É descrita como um dos maiores desafios, portanto, é crucial.;Correto. O texto afirma que muitos projetos falham por ruídos na comunicação.;Errado. A assertividade é apontada como crucial, não como obstáculo.;"Atenção aos termos-chave: \""desafios\"", \""falham\"", \""ruídos\"", \""crucial\"".";N/A;Fácil
115;Língua Portuguesa;Pontuação;Assinale a alternativa em que o uso da vírgula está INCORRETO:;O gerente, após analisar os relatórios, tomou a decisão.;Oferecemos cursos de inglês, espanhol, e francês.;Embora chegasse atrasado, conseguiu fechar o negócio.;Ele, que sempre foi pontual, surpreendeu a todos.;B;Errado. Uso correto para isolar o adjunto adverbial deslocado.;"Correto. A vírgula antes do \""e\"" em enumeração é incorreta (não se separa o último termo de uma lista com vírgula antes do \""e\"").";Errado. Uso correto para separar oração subordinada adverbial antecipada.;Errado. Uso correto para isolar oração subordinada adjetiva explicativa.;"Lembre-se: na enumeração, não se usa vírgula antes do \""e\"" a menos que os termos sejam independentes.";N/A;Médio
116;Língua Portuguesa;Regência Verbal;Assinale a alternativa em que a regência verbal está de acordo com a norma padrão:;O cliente aspira uma vaga no mercado de trabalho.;Precisamos de obedecer às regras do edital.;Todos anseiam por melhores oportunidades.;A empresa remeteu os produtos ao cliente.;C;"Errado. \""Aspirar\"" no sentido de desejar é indireto: \""aspirar a uma vaga\"".";"Errado. \""Precisamos obedecer às regras\"" (verbo transitivo direto).";"Correto. \""Ansiar\"" é verbo transitivo indireto, regido pela preposição \""por\"".";"Errado. \""Remeter\"" é transitivo direto: \""A empresa remeteu os produtos ao cliente\"" (ou \""remeteu os produtos\"").";"Verbos de desejo como \""aspirar\"", \""ansiar\"", \""almejar\"" geralmente exigem preposição.";N/A;Médio
117;Língua Portuguesa;Crase;Assinale a alternativa em que o uso do acento indicativo de crase é OBRIGATÓRIO:;Refiro-me àquele documento importante.;Vamos à São Paulo na próxima semana.;Ele chegou às pressas para a reunião.;A reunião será às 14 horas.;D;Errado. Crase facultativa antes de pronome demonstrativo.;Errado. Não se usa crase antes de nomes de cidades, exceto os femininos que aceitem artigo.;"Errado. \""Às pressas\"" é uma locução adverbial feminina que exige crase.";Correto. Antes de horas é obrigatório o uso do acento indicativo de crase.;"Antes de palavras femininas e indicação de horas, verifique se há a contração \""a + a\"".";N/A;Médio
118;Matemática;Funções;Dada a função f(x) = 2x² - 3x + 1, qual é o valor de f(2)?;3;5;7;9;A;Correto. f(2) = 2*(2)² - 32 + 1 = 24 - 6 + 1 = 8 - 6 + 1 = 3;Errado. Verifique os cálculos, especialmente o sinal do termo -3x.;Errado. Cuidado com a ordem das operações: primeiro exponenciação, depois multiplicação, depois soma/subtração.;Errado. Não esqueça de calcular todos os termos da função.;Substitua x pelo valor dado (2) e calcule passo a passo.;f(x) = 2x² - 3x + 1;Fácil
119;Matemática;Equações;Qual é o conjunto solução da equação 2x - 4 = 3x + 1?;{-5};{5};{-3};{3};A;Correto. 2x - 4 = 3x + 1 → 2x - 3x = 1 + 4 → -x = 5 → x = -5;Errado. Verifique os sinais ao transportar os termos.;Errado. Atenção à operação inversa: deve-se isolar x corretamente.;Errado. Confira todos os passos da resolução.;Isole a incógnita x em um lado da equação.;2x - 4 = 3x + 1 → -x = 5 → x = -5;Fácil
120;Matemática;Funções;Seja f(x) = 3x - 1. Qual é a raiz da função?;1/3;-1/3;3;-3;A;Correto. Raiz é quando f(x)=0: 3x - 1 = 0 → 3x = 1 → x = 1/3;Errado. Cuidado com o sinal ao resolver a equação.;Errado. A raiz é o valor de x que zera a função, não o coeficiente.;Errado. Verifique a solução da equação 3x - 1 = 0;Iguale a função a zero e resolva a equação.;f(x) = 0 quando 3x - 1 = 0;Fácil
121;Matemática;Sistemas Lineares;Qual é a solução do sistema: 2x + y = 7 e x - y = 2?;(3,1);(1,3);(2,3);(3,2);A;Correto. Somando as equações: 3x = 9 → x = 3. Substituindo: 3 - y = 2 → y = 1;Errado. Verifique se os valores satisfazem ambas as equações.;Errado. Tente resolver pelo método da adição ou substituição.;Errado. Confira os cálculos de substituição.;Some as duas equações para eliminar y e encontrar x.;2x + y = 7, x - y = 2;Médio
122;Raciocínio Lógico;Lógica Proposicional;"A negação de \""Todo bancário é pontual\"" é:";Nenhum bancário é pontual.;Algum bancário não é pontual.;Todo bancário não é pontual.;Algum bancário é pontual.;B;Errado. Esta é a contrária, não a negação.;"Correto. A negação de \""todo A é B\"" é \""algum A não é B\"".";"Errado. Esta é a contraditória de \""algum bancário é pontual\"".";"Errado. Esta é a subalterna de \""todo bancário é pontual\"".";"Para negar \""todo\"", basta encontrar um contraexemplo (\""algum... não\"").";N/A;Fácil
123;Raciocínio Lógico;Raciocínio Sequencial;Qual é o próximo termo da sequência: 2, 6, 12, 20, 30, ...?;40;42;44;46;B;Errado. A diferença entre os termos está aumentando: 4,6,8,10,...;Correto. As diferenças são 4,6,8,10, então próxima diferença é 12: 30+12=42;Errado. Padrão: n×(n+1): 1×2=2, 2×3=6, 3×4=12, 4×5=20, 5×6=30, 6×7=42;Errado. Verifique o padrão da sequência.;Analise as diferenças entre termos consecutivos.;Padrão: n×(n+1) onde n=1,2,3,...;Médio
124;Atualidades do Mercado Financeiro;Sistema Financeiro;Qual é o principal índice de inflação monitorado pelo Banco Central para o regime de metas de inflação?;IPCA;INPC;IGP-M;IPCA-15;A;Correto. O IPCA (Índice de Preços ao Consumidor Amplo) é o índice oficial para o regime de metas de inflação.;Errado. O INPC é focado em famílias com renda mais baixa.;Errado. O IGP-M é mais utilizado em contratos e aluguéis.;Errado. O IPCA-15 é uma prévia do IPCA, mas não é o índice oficial.;O Banco Central tem como meta oficial o IPCA.;N/A;Fácil
125;Atualidades do Mercado Financeiro;Política Monetária;Quando o COPOM aumenta a taxa Selic, qual é o efeito esperado sobre a economia?;Estímulo ao consumo e ao crédito.;Contração da atividade econômica e controle inflacionário.;Desvalorização do câmbio.;Aumento imediato da inflação.;B;Errado. O aumento da Selic encarece o crédito, desestimulando o consumo.;Correto. A alta da Selic visa frear a demanda para controlar a inflação.;Errado. Geralmente atrai capitais externos, valorizando a moeda.;Errado. O objetivo é reduzir a inflação no médio prazo.;Selic alta = crédito caro = consumo reduzido = inflação controlada.;N/A;Médio
126;Matemática Financeira;Juros Simples;Um capital de R$ 1.000,00 é aplicado a juros simples de 2% ao mês. Qual será o montante após 5 meses?;R$ 1.100,00;R$ 1.200,00;R$ 1.020,00;R$ 1.102,00;A;Correto. J = C × i × t = 1000 × 0,02 × 5 = 100. M = C + J = 1000 + 100 = 1100;Errado. Este seria o montante para 10 meses a 2% ao mês.;Errado. Cuidado: este é o valor dos juros de apenas 1 mês.;Errado. Este é cálculo de juros compostos para 1 período.;Juros simples: os juros são constantes a cada período.;J = C × i × t, M = C + J;Fácil
127;Matemática Financeira;Juros Compostos;Qual o montante de R$ 2.000,00 aplicado a juros compostos de 3% ao mês por 2 meses?;R$ 2.120,00;R$ 2.121,80;R$ 2.060,00;R$ 2.180,00;B;Errado. Este é o cálculo para juros simples.;Correto. M = C × (1+i)^t = 2000 × (1,03)^2 = 2000 × 1,0609 = 2121,80;Errado. Este é o valor dos juros do primeiro mês apenas.;Errado. Verifique a aplicação da fórmula de juros compostos.;"Juros compostos: \""juros sobre juros\"". Use a fórmula do montante.";M = C × (1+i)^t;Médio
128;Conhecimentos Bancários;Sistema Financeiro Nacional;Qual instituição é responsável pela supervisão do Sistema Financeiro Nacional?;Banco Central do Brasil;Comissão de Valores Mobiliários (CVM);Conselho Monetário Nacional (CMN);Superintendência de Seguros Privados (SUSEP);A;Correto. O BACEN é o supervisor do SFN.;Errado. A CVM regula o mercado de capitais.;Errado. O CMN é o órgão normativo máximo.;Errado. A SUSEP regula o mercado de seguros.;BACEN = executor e supervisor, CMN = formulador de políticas.;N/A;Fácil
129;Conhecimentos Bancários;Produtos Bancários;Qual produto financeiro NÃO é considerado uma aplicação de renda fixa?;CDB;LCI;LCA;Ações;D;Errado. CDB é Certificado de Depósito Bancário, renda fixa.;Errado. LCI é Letra de Crédito Imobiliário, renda fixa isenta de IR para PF.;Errado. LCA é Letra de Crédito do Agronegócio, renda fixa isenta de IR para PF.;Correto. Ações são investimentos de renda variável.;Renda fixa = retorno previsível, Renda variável = retorno incerto.;N/A;Fácil
130;Informática;Segurança da Informação;Qual desses NÃO é um exemplo de malware?;Firewall;Vírus;Worm;Trojan;A;Correto. Firewall é um sistema de segurança, não um malware.;Errado. Vírus é um tipo de malware que infecta arquivos.;Errado. Worm é um malware que se autorreplica.;Errado. Trojan é um malware que se disfarça de software legítimo.;Malware = software malicioso;Firewall = sistema de defesa., N/A;Fácil
131;Informática;Planilhas Eletrônicas;Na função =SE(A1>10;"\""Aprovado\""";"\""Reprovado\"") do Excel, o que acontece se A1 for igual a 15?";"Retorna \""Aprovado\""";"Retorna \""Reprovado\""";C;Retorna FALSO;A;"Correto. 15 > 10 é VERDADEIRO, então retorna o primeiro valor (\""Aprovado\"").";"Errado. Só retornaria \""Reprovado\"" se A1 fosse menor ou igual a 10.Errado. A função SE retorna os valores especificados, não VERDADEIRO/FALSO., Errado. O teste lógico é verdadeiro, então não retorna FALSO., Função SE: =SE(teste_lógico, valor_se_verdadeiro, valor_se_falso), N/A";N/A;N/A;Fácil
132;Vendas e Negociação;Técnicas de Vendas;Qual técnica de vendas envolve responder a uma objeção do cliente transformando-a em uma razão para comprar?;Método SPIN;Técnica do Feel-Felt-Found;Método LAER;Técnica da Boomerangue;D;Errado. SPIN é sobre fazer perguntas situacionais, problemáticas, etc.;Errado. Feel-Felt-Found é sobre empatia e exemplos.;Errado. LAER é escuta ativa (Ouvir, Acusar, Esclarecer, Responder).;"Correto. A técnica da Boomerangue \""devolve\"" a objeção como benefício.";Boomerangue = devolver a objeção como vantagem.;N/A;Médio
133;Vendas e Negociação;Comportamento do Consumidor;Na jornada de compra, qual etapa caracteriza o momento em que o cliente reconhece que tem um problema ou necessidade?;Consciência;Consideração;Decisão;Fidelização;A;Correto. Fase inicial onde o cliente percebe uma necessidade.;Errado. Consideração é quando busca soluções.;Errado. Decisão é quando escolhe uma solução.;Errado. Fidelização é após a compra.;Primeiro: perceber o problema;depois: buscar soluções., N/A;Fácil
134;Psicologia;Gestão de Pessoas;Qual teoria motivacional propõe que as pessoas são motivadas por cinco necessidades hierárquicas?;Teoria dos Dois Fatores (Herzberg);Teoria X e Y (McGregor);Hierarquia das Necessidades (Maslow);Teoria da Expectância (Vroom);C;Errado. Herzberg fala em fatores higiênicos e motivacionais.;Errado. McGregor trata de visões sobre a natureza humana no trabalho.;Correto. Maslow propõe a pirâmide com necessidades fisiológicas, segurança, sociais, estima e autorrealização.;Errado. Vroom foca em expectativa, instrumentalidade e valência.;Pirâmide de Maslow: base (fisiológicas) até topo (autorrealização).;N/A;Fácil
135;Psicologia;Saúde Mental;Qual é um sintoma característico da Síndrome de Burnout?;Aumento da produtividade;Sentimentos de energia e realização;Exaustão emocional e cinismo;Humor elevado e eufórico;C;Errado. Burnout leva à redução da produtividade.;Errado. Há perda de energia e sensação de incompetência.;Correto. A tríade do Burnout é exaustão, cinismo e redução da eficácia profissional.;Errado. O humor tende a ficar deprimido ou irritável.;Burnout está relacionado ao estresse crônico no trabalho.;N/A;Médio
136;Matemática;Funções Quadráticas;Qual é o vértice da parábola definida por f(x) = x² - 4x + 3?;(2, -1);(-2, 15);(1, 0);(4, 3);A;Correto. Xv = -b/2a = 4/2 = 2;Yv = f(2) = 4 - 8 + 3 = -1;Errado. Verifique o cálculo do Xv usando a fórmula correta.;Errado. Este é um dos zeros da função, não o vértice.Errado. Confira as coordenadas do vértice., Vértice: Xv = -b/2a, Yv = f(Xv), Xv = -b/2a, Yv = -Δ/4a;N/A;N/A;Médio
137;Raciocínio Lógico;Lógica de Argumentação;"Considere o argumento: \""Todos os mamíferos têm pulmões. Alguns animais aquáticos são mamíferos. Logo, alguns animais aquáticos têm pulmões.\"" Este argumento é:";Válido;Inválido;Indeterminado;Contraditório;A;Correto. Segue a estrutura do silogismo válido: Todo M é P;Algum S é M;Logo, algum S é P.;Errado. As premissas sustentam a conclusão de forma válida.Errado. É possível determinar a validade pela teoria do silogismo., Errado. Não há contradição entre as premissas e a conclusão., Analise a estrutura usando diagramas de Venn ou regras do silogismo., N/A;N/A;N/A;Difícil
138;Psicologia;Saúde Mental;O transtorno de ansiedade generalizada se caracteriza por:;Ansiedade restrita ao ambiente de trabalho.;Crises passageiras, com largo intervalo entre episódios.;Preocupação excessiva e persistente, mesmo sem motivo claro.;Impossibilidade de tratamento.;C;A restringe e não caracteriza o transtorno.;B crises passageiras não são o foco.;C descreve corretamente as características.;D é falsa, há tratamento eficaz.;Observe se a alternativa traz abrangência e persistência da ansiedade.;N/A;Fácil
139;Língua Portuguesa;Interpretação de Texto;Um dos maiores desafios no ambiente corporativo é a comunicação clara. Muitos projetos falham não por falta de competência técnica, mas por ruídos na transmissão de ideias. A assertividade, nesse contexto, torna-se crucial. Segundo o texto:;A competência técnica é irrelevante para o sucesso de projetos.;A comunicação clara é um elemento secundário no ambiente corporativo.;Ruídos na comunicação podem comprometer a execução de projetos.;A assertividade é um obstáculo para a transmissão de ideias.;C;Errado. O texto não diz que é irrelevante, mas que não é a única causa de falhas.;Errado. É descrita como um dos maiores desafios, portanto, é crucial.;Correto. O texto afirma que muitos projetos falham por ruídos na comunicação.;Errado. A assertividade é apontada como crucial, não como obstáculo.;"Atenção aos termos-chave: \""desafios\"", \""falham\"", \""ruídos\"", \""crucial\"".";N/A;Fácil
140;Língua Portuguesa;Pontuação;Assinale a alternativa em que o uso da vírgula está INCORRETO:;O gerente, após analisar os relatórios, tomou a decisão.;Oferecemos cursos de inglês, espanhol, e francês.;Embora chegasse atrasado, conseguiu fechar o negócio.;Ele, que sempre foi pontual, surpreendeu a todos.;B;Errado. Uso correto para isolar o adjunto adverbial deslocado.;"Correto. A vírgula antes do \""e\"" em enumeração é incorreta (não se separa o último termo de uma lista com vírgula antes do \""e\"").";Errado. Uso correto para separar oração subordinada adverbial antecipada.;Errado. Uso correto para isolar oração subordinada adjetiva explicativa.;"Lembre-se: na enumeração, não se usa vírgula antes do \""e\"" a menos que os termos sejam independentes.";N/A;Médio
141;Língua Portuguesa;Regência Verbal;Assinale a alternativa em que a regência verbal está de acordo com a norma padrão:;O cliente aspira uma vaga no mercado de trabalho.;Precisamos de obedecer às regras do edital.;Todos anseiam por melhores oportunidades.;A empresa remeteu os produtos ao cliente.;C;"Errado. \""Aspirar\"" no sentido de desejar é indireto: \""aspirar a uma vaga\"".";"Errado. \""Precisamos obedecer às regras\"" (verbo transitivo direto).";"Correto. \""Ansiar\"" é verbo transitivo indireto, regido pela preposição \""por\"".";"Errado. \""Remeter\"" é transitivo direto: \""A empresa remeteu os produtos ao cliente\"" (ou \""remeteu os produtos\"").";"Verbos de desejo como \""aspirar\"", \""ansiar\"", \""almejar\"" geralmente exigem preposição.";N/A;Médio
142;Língua Portuguesa;Crase;Assinale a alternativa em que o uso do acento indicativo de crase é OBRIGATÓRIO:;Refiro-me àquele documento importante.;Vamos à São Paulo na próxima semana.;Ele chegou às pressas para a reunião.;A reunião será às 14 horas.;D;Errado. Crase facultativa antes de pronome demonstrativo.;Errado. Não se usa crase antes de nomes de cidades, exceto os femininos que aceitem artigo.;"Errado. \""Às pressas\"" é uma locução adverbial feminina que exige crase.";Correto. Antes de horas é obrigatório o uso do acento indicativo de crase.;"Antes de palavras femininas e indicação de horas, verifique se há a contração \""a + a\"".";N/A;Médio
143;Matemática;Funções;Dada a função f(x) = 2x² - 3x + 1, qual é o valor de f(2)?;3;5;7;9;A;Correto. f(2) = 2*(2)² - 32 + 1 = 24 - 6 + 1 = 8 - 6 + 1 = 3;Errado. Verifique os cálculos, especialmente o sinal do termo -3x.;Errado. Cuidado com a ordem das operações: primeiro exponenciação, depois multiplicação, depois soma/subtração.;Errado. Não esqueça de calcular todos os termos da função.;Substitua x pelo valor dado (2) e calcule passo a passo.;f(x) = 2x² - 3x + 1;Fácil
144;Matemática;Equações;Qual é o conjunto solução da equação 2x - 4 = 3x + 1?;{-5};{5};{-3};{3};A;Correto. 2x - 4 = 3x + 1 → 2x - 3x = 1 + 4 → -x = 5 → x = -5;Errado. Verifique os sinais ao transportar os termos.;Errado. Atenção à operação inversa: deve-se isolar x corretamente.;Errado. Confira todos os passos da resolução.;Isole a incógnita x em um lado da equação.;2x - 4 = 3x + 1 → -x = 5 → x = -5;Fácil
145;Matemática;Funções;Seja f(x) = 3x - 1. Qual é a raiz da função?;1/3;-1/3;3;-3;A;Correto. Raiz é quando f(x)=0: 3x - 1 = 0 → 3x = 1 → x = 1/3;Errado. Cuidado com o sinal ao resolver a equação.;Errado. A raiz é o valor de x que zera a função, não o coeficiente.;Errado. Verifique a solução da equação 3x - 1 = 0;Iguale a função a zero e resolva a equação.;f(x) = 0 quando 3x - 1 = 0;Fácil
146;Matemática;Sistemas Lineares;Qual é a solução do sistema: 2x + y = 7 e x - y = 2?;(3,1);(1,3);(2,3);(3,2);A;Correto. Somando as equações: 3x = 9 → x = 3. Substituindo: 3 - y = 2 → y = 1;Errado. Verifique se os valores satisfazem ambas as equações.;Errado. Tente resolver pelo método da adição ou substituição.;Errado. Confira os cálculos de substituição.;Some as duas equações para eliminar y e encontrar x.;2x + y = 7, x - y = 2;Médio
147;Raciocínio Lógico;Lógica Proposicional;"A negação de \""Todo bancário é pontual\"" é:";Nenhum bancário é pontual.;Algum bancário não é pontual.;Todo bancário não é pontual.;Algum bancário é pontual.;B;Errado. Esta é a contrária, não a negação.;"Correto. A negação de \""todo A é B\"" é \""algum A não é B\"".";"Errado. Esta é a contraditória de \""algum bancário é pontual\"".";"Errado. Esta é a subalterna de \""todo bancário é pontual\"".";"Para negar \""todo\"", basta encontrar um contraexemplo (\""algum... não\"").";N/A;Fácil
148;Raciocínio Lógico;Raciocínio Sequencial;Qual é o próximo termo da sequência: 2, 6, 12, 20, 30, ...?;40;42;44;46;B;Errado. A diferença entre os termos está aumentando: 4,6,8,10,...;Correto. As diferenças são 4,6,8,10, então próxima diferença é 12: 30+12=42;Errado. Padrão: n×(n+1): 1×2=2, 2×3=6, 3×4=12, 4×5=20, 5×6=30, 6×7=42;Errado. Verifique o padrão da sequência.;Analise as diferenças entre termos consecutivos.;Padrão: n×(n+1) onde n=1,2,3,...;Médio
149;Atualidades do Mercado Financeiro;Sistema Financeiro;Qual é o principal índice de inflação monitorado pelo Banco Central para o regime de metas de inflação?;IPCA;INPC;IGP-M;IPCA-15;A;Correto. O IPCA (Índice de Preços ao Consumidor Amplo) é o índice oficial para o regime de metas de inflação.;Errado. O INPC é focado em famílias com renda mais baixa.;Errado. O IGP-M é mais utilizado em contratos e aluguéis.;Errado. O IPCA-15 é uma prévia do IPCA, mas não é o índice oficial.;O Banco Central tem como meta oficial o IPCA.;N/A;Fácil
150;Atualidades do Mercado Financeiro;Política Monetária;Quando o COPOM aumenta a taxa Selic, qual é o efeito esperado sobre a economia?;Estímulo ao consumo e ao crédito.;Contração da atividade econômica e controle inflacionário.;Desvalorização do câmbio.;Aumento imediato da inflação.;B;Errado. O aumento da Selic encarece o crédito, desestimulando o consumo.;Correto. A alta da Selic visa frear a demanda para controlar a inflação.;Errado. Geralmente atrai capitais externos, valorizando a moeda.;Errado. O objetivo é reduzir a inflação no médio prazo.;Selic alta = crédito caro = consumo reduzido = inflação controlada.;N/A;Médio
151;Matemática Financeira;Juros Simples;Um capital de R$ 1.000,00 é aplicado a juros simples de 2% ao mês. Qual será o montante após 5 meses?;R$ 1.100,00;R$ 1.200,00;R$ 1.020,00;R$ 1.102,00;A;Correto. J = C × i × t = 1000 × 0,02 × 5 = 100. M = C + J = 1000 + 100 = 1100;Errado. Este seria o montante para 10 meses a 2% ao mês.;Errado. Cuidado: este é o valor dos juros de apenas 1 mês.;Errado. Este é cálculo de juros compostos para 1 período.;Juros simples: os juros são constantes a cada período.;J = C × i × t, M = C + J;Fácil
